Protien,Score
CELLULAR SENESCENCE,1
APOPTOSIS,1
DNA DAMAGE,100
HOXA11,5
NTN1,6
PSMD10,5
TGFB1,3
AATF,8
BCL6,3
SOX4,2
SERPINF1,7
MDM2,5
DDX5,9
ELAVL1,7
IGF1R,4
P53,4
HSPA4,10
LATS2,10
ERBB2,10
MYCN,3
ZMAT3,9
NCL,2
KLF4,1
PPM1A,9
PLAUR,10
HTATIP2,9
PTTG1,3
E2F1,8
TIAF1,5
CIAPIN1,3
BRCA1,3
PARK2,2
BTG2,5
SGK,6
MUC1,1
MCTS1,2
FAS,10
YBX1,1
HDAC1,9
ID3,1
PADI4,2
POU4F1,10
MYC,10
RREB1,2
IFNA1,2
CHEK2,7
AXIN1,9
H2AFZ,2
THBS1,9
VEGFA,2
DKK1,6
MAPK8,5
ESR1,7
LTF,6
HIPK2,6
BCL3,10
RAS,7
NOTCH1,4
IL6,7
FGF2,7
MMP2,4
BCL2,7
FOXM1,8
ATF3,3
SLC2A1,2
MAPK14,1
CCNA,4
CDK4,6
CCND1,3
PDGFRB,6
EGFR,10
CD44,1
PRKCA,8
TGFA,7
FOS,2
PTEN,3
CDKN2A,5
MAPK1,6
TLR3,3
HIF1A,6
PTGS2,3
CXCR4,9
NOV,10
ICAM1,6
CSNK2,5
EZH2,10
AR,10
HSP90AB1,5
TCF7L2,8
S100A2,3
NME1,4
IGFBP7,10
PRKD1,9
MAPK9,1
SERPINB5,4
PRKG1,2
VRK1,9
RAF1,5
CDK2,2
CHEK1,4
HIPK4,9
CDK5,8
PPM1D,9
AURKA,1
DYRK2,10
CDK9,4
EIF2AK2,7
ATM,10
CDC25A,5
DUSP5,7
FHL2,5
CDKN1B,5
HF1A,4
ATR,7
PRKDC,4
MDM4,5
CDKN1A,5
GAPDH,9
SFN,1
SIAH1,4
TFDP1,7
GSTP1,5
ECT2,9
MSH2,4
DUSP4,5
XAF1,3
WWP1,4
DUSP2,8
FDXR,1
BAX,7
IFI16,3
DDIT4,10
MAP4K4,4
SEMA3B,9
PSEN1,10
PEG3,10
PRSS50,9
IFITM2,1
SIVA1,9
PCBP4,8
DFNA5,2
HNF4A,1
TP53INP1,3
CCNG1,6
EPHB4,5
CASP8,8
COL18A1,2
BBC3,4
APAF1,4
BAK1,3
NLRC4,8
MCL1,2
IER3,6
GADD45A,2
AIFM2,5
CKS2,5
BNIP3L,3
TNFRSF10A,1
TNFRSF10B,1
C12ORF5,5
PERP,1
LRDD,2
P53AIP1,4
RRM2B,4
DDB2,1
ARID3A,4
CKB,1
CD59,6
S100A6,5
SESN2,6
ABCC1,1
PDRG1,7
BDKRB1,4
CKM,4
CD82,9
CD58,5
EDA2R,9
SLC6A6,8
KAT2B,10
ABCB1,1
NR2C1,1
IGFBP1,4
KRT8,3
TP53I13,7
RECQL4,5
MGMT,5
SP7,4
FEN1,1
CDC20,3
IQCB1,7
HIC1,1
RPRM,7
MMP1,9
TSP50,1
MMP13,1
HMMR,4
MAP4,7
PRC1,5
GTSE1,9
CALD1,10
KRT19,7
RGS16,7
PCNA,2
C13ORF15,2
ISG15,2
SLC2A4,6
CCNB1,5
RAD51,10
